,gender,Is a freshman,Whether to start the question on time,Undergraduate school level,Number of students supervised by instructor,Average grades for degree courses,Number of SCI articles published in three years of enrollment,Number of EI articles published three years after enrollment,Total articles published in admissions,Delay time
41,female,yes,no,general,13,76.8223291543752,0,4,5,1.2
42,female,yes,no,985,0,85.30026909513451,1,4,6,3.9
43,male,yes,yes,211,7,73.02732095477137,1,3,5,0.9
44,male,yes,no,general,14,77.4090099569237,3,0,4,2.2
45,male,no,yes,985,3,81.95466525867418,1,3,5,1.9
46,male,yes,yes,211,6,80.2088965478684,4,2,7,1.8
47,female,yes,no,985,1,77.80490367405287,0,0,1,1.3
48,female,no,yes,211,0,76.4717323204264,4,3,8,3.0
49,male,no,no,general,3,76.22410765292672,0,4,5,3.1
50,female,yes,yes,985,11,64.40616119294472,2,1,4,2.2
51,female,no,yes,985,3,75.96574383085851,2,3,6,1.7
52,female,no,yes,211,12,81.82683506428044,1,2,4,0.2
53,female,no,yes,211,2,69.34359669194978,2,4,7,1.7
54,female,no,yes,general,4,74.26749178463628,4,0,5,0.3
55,male,yes,no,985,11,74.39329020677143,4,4,9,2.8
56,female,yes,no,211,8,74.30480927949239,3,2,6,1.3
57,male,no,yes,985,0,74.89202561787737,0,0,1,2.8
58,female,no,no,general,5,83.09661133094818,2,3,6,0.2
59,male,no,yes,general,3,71.43189954482199,4,4,9,0.2
60,male,no,yes,985,8,78.01338998648302,4,4,9,3.7
61,female,yes,no,general,9,70.93471183337918,1,2,4,0.9
62,female,no,yes,general,8,72.76924404719188,1,2,4,2.8
63,male,yes,yes,211,8,78.40497490121386,4,4,9,1.6
64,male,no,yes,211,10,82.05399169516136,1,3,5,0.1
65,male,yes,yes,general,13,75.81378329811798,2,1,4,1.5
66,male,no,no,985,0,68.10667745138284,3,1,5,3.2
67,male,yes,yes,985,0,76.55256452012682,2,1,4,4.5
68,female,yes,yes,general,12,70.71551833741543,1,3,5,1.6
69,male,yes,no,general,3,77.09070014512287,2,4,7,3.1
70,male,yes,yes,211,3,70.61629260601926,3,3,7,0.1
71,female,yes,yes,985,12,86.77414564432173,3,2,6,1.3
72,male,no,no,general,0,74.48793811378647,0,1,2,1.2
73,male,yes,no,985,6,74.03283388447517,0,4,5,1.3
74,female,no,yes,211,1,78.91436405504692,1,4,6,0.0
75,male,no,yes,general,0,74.69326732982438,2,4,7,0.1
76,male,no,no,211,7,80.49541245409222,4,4,9,1.3
77,female,yes,yes,general,9,75.83632235159622,2,1,4,2.7
78,male,yes,no,211,6,76.97097443261406,0,4,5,0.9
79,male,yes,no,211,1,71.33281280207007,4,3,8,1.5
80,female,no,yes,general,10,78.01498237504768,4,0,5,0.7
81,female,yes,no,general,5,84.44523689425323,2,4,7,0.2
82,male,no,yes,general,12,78.68974450977366,4,1,6,1.7
83,female,yes,no,general,12,74.21504076422424,3,1,5,1.9
84,female,yes,yes,general,7,76.30489908201702,0,3,4,1.4
85,female,no,no,211,2,82.28334759701531,4,4,9,2.5
86,female,yes,yes,general,13,74.56779078746635,1,4,6,1.6
87,male,no,yes,211,6,72.90572273586545,0,0,1,1.3
88,male,no,yes,211,2,78.01570819247196,4,3,8,0.9
89,male,yes,yes,211,10,73.54442220300236,0,4,5,0.1
90,male,no,yes,985,3,76.093747491904,3,2,6,0.7
91,male,yes,yes,general,12,78.32751383965588,1,3,5,1.1
92,female,yes,yes,211,5,79.72080957835199,2,0,3,3.1
93,female,no,yes,985,6,73.54263154338959,3,4,8,2.7
94,female,no,yes,211,12,81.22140946474202,4,1,6,0.4
95,female,yes,no,211,0,77.00296384290468,0,3,4,4.6
96,female,yes,no,general,12,66.88443244379783,4,3,8,0.5
97,female,no,yes,985,3,77.40872786015241,2,2,5,0.9
98,male,no,no,211,12,84.72261915194763,0,1,2,0.7
99,male,yes,no,211,2,76.98017628207097,3,2,6,1.2
100,male,no,no,985,8,85.36613507300912,3,2,6,1.1
101,female,no,yes,211,9,71.18110468389148,1,4,6,0.5
102,female,yes,yes,general,1,78.78858839550813,3,4,8,3.6
103,male,no,yes,211,9,80.48413257837811,1,1,3,2.3
104,female,no,no,985,6,77.77669550279738,3,3,7,0.4
105,female,yes,yes,985,10,77.33669319661759,2,3,6,2.6
106,female,yes,no,985,11,79.35307009777766,2,0,3,1.0
107,male,yes,no,985,2,79.62595984687867,4,3,8,1.6
108,male,yes,no,211,4,70.15578718174199,4,1,6,0.0
109,male,yes,no,general,11,83.39283849802857,2,4,7,0.1
110,male,no,yes,general,2,85.25807918602028,0,1,2,0.3
111,male,no,no,211,14,76.7727522140829,4,1,6,1.9
112,male,no,no,985,1,89.88469695419215,1,0,2,2.0
113,male,yes,no,general,5,74.90171136798311,1,1,3,0.1
114,male,no,yes,985,5,80.47205649194991,3,3,7,0.6
115,male,yes,no,general,7,72.48789014970788,1,3,5,1.3
116,male,no,yes,985,5,79.84826290087203,2,4,7,2.8
117,male,yes,no,985,14,76.14854574631957,1,3,5,0.1
118,female,no,yes,211,1,75.52511644660964,0,4,5,1.2
119,female,yes,yes,211,1,77.02778469920646,3,1,5,1.5
120,female,no,no,211,12,70.83164549077698,0,0,1,2.4
121,female,yes,yes,211,0,74.22720933824702,4,0,5,0.4
122,female,yes,yes,general,2,75.76043178254965,4,0,5,1.6
123,male,yes,yes,211,7,79.37430015340563,2,1,4,4.0
124,male,no,yes,985,8,72.11357472590956,2,1,4,0.4
125,female,no,no,985,2,79.43095678329536,4,1,6,4.5
126,female,yes,yes,211,7,72.61534917972219,3,3,7,3.2
127,male,no,no,211,5,67.3107858971361,0,4,5,0.2
128,male,no,no,211,11,74.77328108627727,2,0,3,0.2
129,female,no,no,211,0,81.20254482046859,2,0,3,1.8
130,male,no,no,general,6,80.79842666249048,1,2,4,0.1
131,female,no,yes,211,11,73.47141352290642,2,2,5,0.4
132,male,no,yes,211,11,66.28980916045407,4,1,6,0.2
133,male,yes,no,985,9,78.91119583745458,2,1,4,0.5
134,male,no,no,211,0,76.98034466013559,0,4,5,4.4
135,female,yes,yes,211,2,72.4676121183614,2,1,4,2.0
136,male,no,no,985,1,69.04482976285902,3,2,6,0.8
137,male,yes,no,985,9,81.64777750090006,4,2,7,2.7
138,female,yes,no,985,11,79.96206074629016,2,0,3,1.0
139,female,no,no,211,2,80.00515872656426,4,1,6,1.2
140,female,no,no,985,3,82.42340839878055,4,2,7,0.3
141,male,yes,no,985,0,71.75645454507107,4,0,5,2.8
142,female,no,no,211,9,62.92363030888563,0,1,2,0.9
143,female,yes,yes,general,2,69.6208726011866,2,2,5,0.0
144,female,yes,yes,general,3,80.35849252927815,2,1,4,0.8
145,male,no,yes,211,14,76.24525557344762,2,0,3,0.2
146,female,no,yes,general,9,72.3731725478445,2,0,3,1.9
147,male,yes,yes,general,12,75.40765762332639,3,2,6,0.7
148,male,yes,no,985,7,79.14267001213489,0,1,2,1.9
149,male,no,no,985,9,72.86036877457205,3,2,6,0.0
150,male,yes,no,general,13,72.09843338703719,2,0,3,1.9
151,female,no,yes,general,9,79.43257619522473,0,2,3,2.7
152,female,no,no,general,0,77.82284267363102,3,2,6,3.0
153,male,no,yes,general,8,76.7008425970726,3,3,7,1.7
154,male,yes,yes,general,2,74.37815592970081,1,3,5,2.6
155,male,yes,yes,general,3,82.96258654654899,2,4,7,0.5
156,female,yes,no,211,7,79.04700639037273,0,3,4,2.8
157,male,yes,no,general,14,87.41859757069206,0,2,3,3.1
158,male,no,yes,985,6,74.81772852906168,4,1,6,1.2
159,male,no,yes,general,12,82.53360710250858,4,0,5,3.1
160,female,no,yes,211,4,81.6711539177832,3,3,7,0.3
161,female,no,yes,985,6,74.03866985930969,2,1,4,3.3
162,male,yes,no,211,5,69.26215609132457,4,1,6,1.5
163,female,no,no,general,2,78.98729136868191,1,0,2,0.7
164,male,no,yes,211,11,76.40854989204087,1,3,5,0.0
165,female,yes,no,211,9,72.13098003194156,4,4,9,1.1
166,male,no,no,985,8,73.97721786091293,2,2,5,0.4
167,female,no,yes,general,13,78.05133138545919,0,4,5,0.2
168,female,yes,yes,211,8,76.31073254694616,0,0,1,0.5
169,male,yes,yes,985,6,76.0896039097616,1,1,3,3.4
170,male,yes,yes,211,3,79.45243939729822,2,3,6,2.5
171,male,no,yes,211,1,70.41159220960006,1,4,6,3.2
172,male,no,yes,general,5,78.50059702321936,3,4,8,0.8
173,female,no,yes,985,5,78.00812830264692,1,4,6,0.7
174,male,yes,yes,211,9,77.38378015585452,0,0,1,2.4
175,female,yes,yes,211,6,72.63868504721368,2,0,3,0.5
176,female,no,yes,985,11,71.57072971820769,0,2,3,1.6
177,male,yes,no,general,7,69.71512338137366,1,1,3,1.0
178,male,yes,yes,985,8,71.23262034942238,3,2,6,2.1
179,male,no,yes,211,12,71.34962418722289,1,0,2,0.9
180,male,yes,yes,985,7,80.96039588529932,2,4,7,1.4
181,female,no,yes,211,3,70.59179031900484,0,4,5,5.4
182,female,yes,yes,985,0,68.36748638732557,0,0,1,3.1
183,female,no,yes,211,14,78.61531215994485,0,3,4,0.1
184,male,yes,yes,general,10,73.24882113434927,3,1,5,0.5
185,female,no,no,211,6,82.91936089288276,2,2,5,0.1
186,female,yes,yes,985,14,81.96106801829139,0,4,5,1.4
187,male,no,yes,general,8,69.40470030895342,4,4,9,0.6
188,female,no,no,985,10,72.32520449570478,3,4,8,3.6
189,female,yes,no,general,9,72.89139820177182,3,2,6,1.8
190,male,yes,yes,general,7,81.19870262278664,0,0,1,0.4
191,male,no,no,985,1,75.186993357998,4,4,9,0.4
192,female,yes,yes,211,0,80.61619031273715,4,1,6,1.7
193,male,no,no,general,13,74.32256845830277,4,1,6,5.2
194,male,no,yes,211,11,75.94132769208838,1,0,2,3.3
195,female,yes,yes,general,9,74.35805759324808,4,4,9,0.4
196,male,no,yes,general,13,80.67701847911471,1,2,4,3.8
197,female,yes,yes,211,4,75.45137083079202,0,0,1,1.4
198,female,no,yes,985,14,72.22678520752223,3,1,5,0.3
199,female,yes,yes,general,3,68.23956379156911,3,3,7,0.2
200,male,no,no,211,1,75.81282950628481,1,2,4,2.8
201,female,no,no,211,12,73.62970260526177,3,4,8,1.8
202,female,yes,yes,211,3,80.95508879197587,2,4,7,4.7
203,male,no,no,985,1,77.96037481775174,0,2,3,2.8
204,female,no,no,general,1,82.75606683056327,2,1,4,1.8
205,female,no,no,general,4,68.01340942929353,4,4,9,0.8
206,female,yes,yes,211,14,75.26247932594605,3,3,7,0.4
207,male,yes,yes,985,3,75.86921913554804,3,0,4,1.5
208,male,yes,yes,211,12,77.06923542389896,2,3,6,1.6
209,female,no,yes,general,3,71.57638640644916,4,2,7,1.3
210,female,yes,yes,general,14,68.675294835584,1,3,5,1.9
211,male,yes,no,985,3,77.37195031205994,4,0,5,0.1
212,male,no,yes,211,0,84.14193065915113,1,2,4,0.0
213,female,no,yes,211,0,82.73433041284325,2,4,7,1.4
214,female,no,yes,211,11,70.68875920895482,2,2,5,0.7
215,male,no,yes,211,0,70.46021118472913,1,4,6,0.3
216,female,no,no,211,2,73.76836165456484,4,2,7,4.3
217,male,no,no,985,6,72.62789260422024,3,0,4,2.7
218,female,no,yes,985,9,82.1512176894663,3,3,7,2.1
219,female,no,yes,general,2,76.05909588683087,4,2,7,1.5
220,male,yes,no,general,3,84.58257355141399,2,0,3,1.3
221,male,no,yes,985,6,86.03660504707373,0,3,4,1.6
222,male,no,no,general,4,74.75200557342227,3,2,6,1.2
223,female,no,yes,211,1,72.55798188120569,3,3,7,2.6
224,male,no,yes,general,3,72.45979171819519,2,0,3,0.1
225,female,yes,no,211,12,70.31271656542549,1,1,3,1.5
226,female,yes,no,985,3,68.55073885970442,4,2,7,0.5
227,male,yes,yes,985,1,84.72573488569199,1,0,2,0.7
228,male,no,no,general,9,71.1304324356892,4,4,9,0.7
229,female,no,no,985,13,76.88924304788011,3,0,4,1.7
230,female,no,no,211,8,69.76122351316138,4,2,7,1.6
231,male,no,yes,985,10,79.07828807905764,2,2,5,1.5
232,male,no,no,general,7,84.34416019259774,1,3,5,2.4
233,male,no,yes,general,0,74.20189763021477,2,3,6,2.0
234,female,yes,no,general,8,74.99711850680706,0,2,3,0.5
235,male,no,no,985,12,77.51096683588162,3,3,7,1.3
236,female,yes,no,985,10,77.91604586649194,2,1,4,0.8
237,female,no,yes,general,11,72.05238231719514,4,1,6,2.9
